"","text","country","source"
"80","@fairmontcll @explorecanada @fairmonthotels @travelalberta @banff_squirrel @accorhotels excellt work, team #ohcanada","","Twitter Web Client"
"81","heard at bc legisture, ""wed love to have you in our living fg"" #ohcanada","","Twitter for BlackBerry"
"82","@jodydahrouge @bradfarquhar imagine if alberta and saskatchewan both had sovereign wealth funds #ohcanadamanitoba could have one, too! they dont have to be massive pools of capital to start, but separating them out of geral tax revue is smart reinvest proceeds in own province hmm","","Twitter Web Client"
"83","#ohcanada! ///sb1aula4uv","","Twitter for BlackBerry"
"84","best to all! #ohcanada ///jzbktearcb","","Twitter for BlackBerry"
"85","@jamesboley canada day today in canada #ohcanada","","Twitter Web Client"
"86","best to all in ottawa governor geral speaking now #ohcanada ///7bwy321f5w","","Twitter for BlackBerry"
"87","#ohcanada ///ublp6kcaod","","Twitter Web Client"
"88","@victoriagold #ohcanada@tsx_tsxv @bankofcanada psst @justintruau canada day marked by ""first ore on heap leach pad"" canada mining!","","Twitter Web Client"
"89","victoria rgest ""living fg"" in canada for how many years #ohcanada ///ogbdsvs5oe","","Twitter for BlackBerry"
"90","ran into @anthomasdoyle on way into @bluejays  go jays go #ohcanada ///bmnwrrgl2n","Canada","Twitter for Android"
"91","though canadas history is not perfect - i am a proud canuck will always be caribbean by heritage, will give back to dominica  wh able but canada has legacy of inclusivity, embraced diversity, safety and a global imprint of kindness #canadaproud #ohcanada #canadaday","","Twitter Web App"
"92","#yyztoyvr #viewsfromthe604 #ohcanada #squamish #beautifulbc #squamishadvture #uppersquamishvalley #vancity #vancouver #pnw #pnwonrnd #pnwroamers #pnwlife #wesastbesast @ ///eumauq8mlh","Canada","Instagram"
"93","keeping it canada  #yyztoyvr #viewsfromthe604 #ohcanada #squamish #beautifulbc #squamishadvture #uppersquamishvalley #vancity #vancouver #pnw #pnwonrnd #pnwroamers #pnwlife ///s9r76fabqv","Canada","Instagram"
"94","sunsets on the river #yyztoyvr #viewsfromthe604 #ohcanada #squamish #beautifulbc #squamishadvture #uppersquamishvalley #vancity #vancouver #pnw #pnwonrnd #pnwroamers ///mcrpqravok","Canada","Instagram"
"95","a home for our canadian hearties #hearties #ohcanada ///wxhzm97dn8","","Twitter for iPhone"
"96","hey us nba media, the toronto raptors are the world champions, eat it #nbafreeagcy2019 #raptors #ohcanada #kawhiwatch","","Twitter for iPhone"
"97","@johnsemley3000 were still serving up 40% off poutine with 50+ restaurant partners across the country until july 7 you should keep the celebration going all week long! #poutinefordays #ohcanada","","Twitter Web Client"
"98","just finished a custom dyed wholesale orr for #haidagwaii and im loving them!  #tiedye #haidanation #northernpassage #firstnations #bccoast #quecharlotteisnds #insipassage #bc #ilovebc #ohcanada ///g5sc5fhhgh","","Instagram"
"99","just saw my first canadian tuxedo of the trip #ohcanada","Canada","Twitter for iPhone"
"100","we hope everyone in canada joyed the countrys 152nd year! #happycanadaday2019  #ohcanada ///1jj2oni9az","","Twitter Web Client"
"101","celebrated #canadaday2019 @streetsvilleca memorial park w/ #fireworks &; lots of activities best part was singing #ohcanada during fireworks dispy thank you pierre truau for passing the #canadian #multiculturalism act #proudtobecanadian @peelschools @etfopeel @climatepeel ///4ncj2cru","","Twitter for iPhone"
"102","guest hosts bob &; doug mackzie - oh canada tribute  #ldnont #ohcanada #hiphop #boombap #hiphopcanada #breaknorthradio @breaknorthradio  @djhullewud_du infinity war ft @iamfortunato @ngajuana  #beautycrke    ///s9tpltc0oo","","Twitter Web Client"
"103","what a weekd!thank you to everyone who came out and celebrated canada day with us!we hope everyone had a fun-filled long weekd keep the party going with #tomcruisetuesday all flights are $1 off at our tasting room - every tuesday!#ohcanada #canadaday2019 #adfrog ///ceiassesuk","","Hootsuite Inc."
"104","happy long weekd everyone! staying in town stop in &; say hello!long weekd hourssaturday 11am - midnightsunday  noon - 8pmmonday 11am - 10pmjoin us monday for our big canada day party! there will be beer specials, poutine, live music &; more!#ohcanada #adfrog ///qbbejktgnx","","Hootsuite Inc."
"105","tomorrow// were throwing a big canada day party!join us on july 1st for a day of canadian celebrations! there will be $1 off all 16oz pints, beer floats, poutine &; live music! learn more ///7dq9poo5see you there eh#ohcanada #cheers #adfrog ///4131kuhecj","","Hootsuite Inc."
"106","canadas birthday is coming and were celebrating the best way we know how - with a big dead frog party! join us on monday - july 1st - for a day of canadian celebrations!the party goes from 11am - 10 pm see ya there ehevent ///5pnrfw42ir#ohcanada #adfrog\ ///tc7tktvahc","","Hootsuite Inc."
"107","happy canada day everyone!we hope everyone is having a fun filled weekd join the party at our tasting room weve got $1 off beers, poutine, live music &; more! the party goes from 11am to 10pmsee you there eh! #canadaday #adfrog #ohcanada ///nslspgzp4i","","Hootsuite Inc."
"108","drop a commt if this pce has won your  !#myucluelet #britishcolumbia #canada #imagesofucluelet #harbour #supernaturalbritishcolumbia #uclueletharbour #fishingboats #ohcanada #ucluelet  @beesquare ///czqcn6tlbe","","AgoraPulse Manager"
"109","were still feeling patriotic from yesterday, so to show our true colours, were sharing the best snacks you can only find in canada! #canadiansnacks #ohcanada ///5yup9uhq3f ///r665jlms3g","","Hootsuite Inc."
"110","canada day fireworks in kelowna were great! ev better was the company   #canadaeh #ohcanada #kelowna #vacayvibes #epicvibeshare #liveyourbestlife #happy @ kelowna, british columbia ///5qvbmsjt70","","Instagram"
"111","09 @charitymiles for @charitywater #romancefit #ohcanada","","Twitter for iPhone"
"112","@noothan04 @nowthisnews #ohcanada #wethenorth canada is a great pce to live and raise a family ) we try to inclu everyone and make everyone feel welcomed and at home we do have our issues sure what country doesnt! we do have our idiots that are pure hate in their nasty ass souls #welcomeall","","Twitter for iPhone"
"113","@wtaylorpayne4 @br451 @robinsoncarol youre right will well done i live in nf and i have only passed london ontario on my way to windsor and the borr gd you came and joyed yourself ) please come again anytime! #ohcanada","","Twitter for iPhone"
"114","#ohcanada  #newprofilepic ///clgpql3kxb","Canada","Twitter for iPhone"
"115","que jvois un-e pauvre anarcho-bobo dantifa pseudo bi-pssant-e essayer dfaire une sembnt  morale sur lappropriation culturelle juste pour voir!voici lexemple suprme sur lequel ces imbciles vrait se conctrer ///ssp9prmqbj#hcanada","","Twitter Web App"
"116","post canada day weekd back to work mood #writerslife #writersofig #canadadayweekd #ohcanada #amwriting #amreading #readya #authorsofig #authorslifestyle #bookish #bookcommunity #bookstagram ///drdq8s4pcj","","Instagram"
"117","anybody wanna fly to canada with me just hop on one of my private pnes lol  #ohcanada #tourlife #armyoftheunrdog #littlestev #littlestevandthedisciplesofsoul @ new jersey ///cujoqtzshb","United States","Instagram"
"118","happy canada day frids! watching these fireworks every year never gets old  #canada #canadaday #canadaday2019 #canadaday #ohcanada #canuck #canuckasfuck #canada152 #happybirthday #instahub ///h2e9wzw8nc","","Instagram"
"119","it doesnt get much better than this #ohcanada #canadaday2019 #sunrisehike #mountains #hike #traveler #canada ///4qmtf5uinf","","Twitter for Android"
"120","it was an incredible experice to be up on mount seymour at sunrise  #canada #canadaday2019 #ohcanada #hiking #traveler #hikingadvtures ///mmaihvbxon","","Twitter for Android"
"121","@dublinairport @aircanada dream prize  would love to visit canada  #ohcanada #dubaircanada ///bk3opvexl4","","Twitter for iPhone"
"122","now that the full team is back to work after the long weekd, we wanted to wish our canadian customers a happy beted canada day!#ohcanada #distechcontrols ///limi2qusow","","Twitter Web Client"
"123","@dougs__k @sja_ottawa well done #ohcanada","","Twitter for Android"
"124","hope all my fellow canadians had an amazing canada day yesterday im bummed i was in las vegas and i wasnt able to celebrate it  #ohcanada #myhomeandnativend canada will ///9awjgb4snr","","Instagram"
"125","celebrated  day with cupcakes drizzled with #maplesyrup, topped with local ontario strawberries &; candied #maplelodgefarms chick bacon  how did you celebrate #canadaday2019 #ohcanada ///ayctkrhrb0","","Twitter Web Client"
